ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num
115-04-4507|4218196001337|Jonathan|Johnson|M|863 Lawrence Valleys|Ambler|PA|19002|40.1809|-75.2156|32412|Accounting technician|1959-10-03|888022315787
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|Leland|NC|28451|34.268|-78.0578|27112|Professor Emeritus|1963-06-07|917558277935
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Cordova|SC|29039|33.4275|-80.8857|4215|International aid/development worker|1973-05-30|718172762479
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Birmingham|AL|35242|33.3813|-86.7046|493806|Seismic interpreter|1942-12-26|947268892251
697-93-1877|4514627048281480|Lisa|Hernandez|F|809 Burns Creek|Fargo|GA|31631|30.7166|-82.5801|559|Medical laboratory scientific officer|1939-05-22|888335239225
246-08-3947|3517182278248964|Vincent|Hickman|M|465 Lam Mission|Forsyth|GA|31029|33.0508|-83.9362|16287|Community arts worker|1976-06-18|245877882397
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Patterson|LA|70392|29.6967|-91.2812|8456|Plant breeder/geneticist|1939-03-06|465378164447
479-94-0888|4065133387262473|Danielle|Leblanc|F|108 Tanya Terrace Apt. 267|Rochester|MI|48307|42.6593|-83.1225|97195|Quarry manager|1973-12-27|950105810049
061-22-6210|630447468723|Cheryl|Robinson|F|805 Brendan Neck|Lakewood|CA|90715|33.8405|-118.0767|79812|Retail buyer|2002-08-23|940251608167
162-08-8321|2222913619399092|Bradley|Sandoval|M|3534 Anderson Rue Suite 751|Glendale|CA|91202|34.1652|-118.2656|172817|Acupuncturist|1985-01-26|684868121383
103-10-8809|4251354278496|Victoria|Roman|F|841 Joseph Coves|Pensacola|FL|32504|30.4873|-87.1872|254917|Surgeon|1938-02-26|297020387114
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Sherman|TX|75090|33.6435|-96.6075|46563|Television floor manager|1967-08-02|161286867170
